化合物,英文名,化学式,SMILES,分子量,DENSITY,CALORICITY,MELTING,
异戊烷,isopantane,C5H12,CCC(C)C,0,0.62,46.68 ,-159.9,
己烷,hexane,C6H14,CCCCCC,0,0.6606,46.41 ,-95.27,
庚烷,heptane,C7H16,CCCCCCC,0,0.6795,46.26 ,-90.549,
正辛烷,octane,C8H18,CCCCCCCC,0,0.6986,46.16 ,-56.73,
正壬烷,nontane,C9H20,CCCCCCCCC,0,0.7192,46.07 ,-53.47,
癸烷,decane,C10H22,CCCCCCCCCC,0,0.7266,46.00 ,-29.61,
十一烷,undecane,C11H24,CCCCCCCCCCC,0,0.7402,45.95 ,-25.54,
十二烷,dodecane,C12H26,CCCCCCCCCCCC,0,0.7495,45.90 ,-9.55,
十三烷,tridecane,C13H28,CCCCCCCCCCCCC,0,0.7564,45.86 ,-5.35,
十四烷,tetradecane,C14H30,CCCCCCCCCCCCCC,0,0.7596,45.83 ,5.87,
乙基环丙烷,Ethylcyclopropane,C5H10,CCC1CC1,0,0.679,44.93 ,-149.2,
乙基环丁烷,Ethylcyclobutane,C6H12,CCC1CCC1,0,0.7284,45.00 ,-142.9,
环戊烷,cyclopentane,C5H10,C1CCCC1,0,0.7457,44.91 ,-93.4,
甲基环戊烷,methylcyclopentane ,C6H12,CC1CCCC1,0,0.7486,44.98 ,-142.42,
乙基环戊烷,ethylcyclopentane,C7H14,CCC1CCCC1,0,0.7665,44.97 ,-138.42,
正丙基环戊烷,Propylcyclopentane,C8H16,CCCC1CCCC1,0,0.7763,45.07 ,-117.3,
异丙基环戊烷,Isopropylcyclopentane,C8H16,CC(C)C1CCCC1,0,0.7765,45.07 ,-111.4,
丙烯环戊烷,Allycyclopentane,C8H14,C=CCC1CCCC1,0,0.793,44.00 ,-110.7,
"1,1二甲基环戊烷","1,1-Dimethylcyclopentane",C7H14,CC1(C)CCCC1,0,0.7499,45.04 ,-69.8,
"1,2二甲基环戊烷","1,2-Dimethylcyclopentane",C7H14,CC1C(C)CCC1,0,0.768,45.04 ,-54,
"1,3二甲基环戊烷","1,3-Dimethylcyclopentane",C7H14,CC1CC(C)CC1,0,0.7402,45.04 ,-133.7,
1-甲基-1-乙基环戊烷,1-ethyl-1-methylcyclopentane,C8H16,CC1(CC)CCCC1,0,0.7767,45.07 ,-143.8,
1-甲基-2-乙基环戊烷,1-Ethyl-2-methylcyclopentane,C8H16,CC1CCCC1CC,0,0.7852,45.07 ,-106,
1-甲基-3-乙基环戊烷,1-Ethyl-3-methylcyclopentane,C8H16,CC1CC(CC)CC1,0,0.7634,45.07 ,-139.83,
"1,1,2-三甲基环戊烷","1,1,2-Trimethylcyclopentane",C8H16,CC1(C)C(C)CCC1,0,0.766,45.07 ,-21.6,
"1,1,3-三甲基环戊烷","1,1,3-Trimethylcyclopentane",C8H16,CC1(C)CC(C)CC1,0,0.7439,45.07 ,-142.4,
"1,2,4-三甲基环戊烷","1,2,4-Trimethylcyclopentane",C8H16,CC1C(C)CC(C)C1,0,0.7592,45.07 ,-132.6,
"1,1,3,3-四甲基环戊烷","1,1,3,3-Tetramethylcyclopentane",C9H18,CC1(C)CC(C)(C)CC1,0,0.7469,45.10 ,-88.4,
正丁基环戊烷,Butylcyclopentane,C9H18,CCCCC1CCCC1,0,0.7846,45.11,-108,
异丁基环戊烷,Isobutylcyclopentane,C9H18,CC(C)CC1CCCC1,0,0.7769,45.11,-115.2,
环己烷,clohexane,C6H12,C1CCCCC1,0,0.7739,44.92 ,6.7,
甲基环己烷,methylcyclohexane,C7H14,CC1CCCCC1,0,0.7694,44.97 ,-126.6,
乙基环己烷,ethylcyclohexane,C8H16,CCC1CCCCC1,0,0.788,45.01 ,-111.28,
"1,1-二甲基环己烷","1,1-Dimethylcyclohexane",C8H16,CC1(C)CCCCC1,0,0.7809,45.07 ,-33.3,
"顺式1,2-二甲基环己烷","cis-1,2-Dimethylcyclohexane",C8H16,C[C@@H]1[C@H](C)CCCC1,0,0.7963,45.07 ,-49.8,
"反式1,2-二甲基环己烷","trans-1,2-Dimethylcyclohexane",C8H16,C[C@H]1[C@H](C)CCCC1,0,0.776,45.07 ,-88.15,
"顺式1,3-二甲基环己烷","cis-1,3-Dimethylcyclohexane",C8H16,C[C@@H]1C[C@H](C)CCC1,0,0.766,45.07 ,-75.53,
"反式1,3-二甲基环己烷","trans-1,3-Dimethylcyclohexane",C8H16,C[C@H]1C[C@H](C)CCC1,0,0.79,45.07 ,-90.07,
"1,3-二甲基环己烷","1,3-Dimethylcyclohexane",C8H16,CC1CC(C)CCC1,0,0.766,45.01,-75.51,
"顺式1,4-二甲基环己烷","cis-1,4-Dimethylcyclohexane",C8H16,C[C@@H]1CC[C@H](C)CC1,0,0.7829,45.07,-87.39,
"反式1,4-二甲基环己烷","trans-1,4-Dimethylcyclohexane",C8H16,C[C@H]1CC[C@H](C)CC1,0,0.77,45.07,-36.93,
丙基环己烷,propylcyclohexane,C9H18,CCCC1CCCCC1,0,0.7936,45.04,-94.86,
异丙基环己烷,sopropylcyclohexane,C9H18,CC(C)C1CCCCC1,0,0.8023,45.04,-89.4,
"1,1,2-三甲基环己烷","1,1,2-trimethylcyclohexane",C9H18,CC1(C)C(C)CCCC1,0,0.7963,45.10 ,-29,
"1,1,3-三甲基环己烷","1,1,3-trimethylcyclohexane",C9H18,CC1(C)CC(C)CCC1,0,0.7749,45.10 ,-65.7,
"1,2,4-三甲基环己烷","1,2,4-Trimethylcyclohexane",C9H18,CC1C(C)CC(C)CC1,0,0.787 ,45.10 ,-83.5,
"1,2,3-三甲基环己烷","1,2,3-Trimethylcyclohexane",C9H18,CC1C(C)C(C)CCC1,0,0.7803,45.10 ,-233.66,
"1,3,5-三甲基环己烷","1,3,5-Trimethylcyclohexane",C9H18,CC1CC(C)CC(C)C1,0,0.7794,45.10 ,-107.4,
反式1-乙基-4-甲基环己烷,trans-1-Ethyl-4-methylcyclohexane,C9H18,C[C@H]1CC[C@H](CC)CC1,0,0.7798,45.10 ,-80.8,
"反式-1,4-二乙基环己烷","1,4-diethylcyclohexane",C10H20,CC[C@H]1CC[C@H](CC)CC1,0,0.7752,45.13 ,-126.73,
顺式1-甲基-4-异丙基环己烷,cis-1-Methyl-4-isopropylcyclohexane,C10H20,CC([C@@H]1CC[C@H](C)CC1)C,0,0.8039,45.13 ,-89.9,
反式1-甲基-4-异丙基环己烷,trans-1-Methyl-4-isopropylcyclohexane,C10H20,CC([C@H]1CC[C@H](C)CC1)C,0,0.7928,45.13 ,-86.3,
正丁基环己烷,n-butylcyclohexane,C10H20,CCCCC1CCCCC1,0,0.7902,45.07,-74.68,
1-甲基-2-丙基环己烷,1-methyl-2-propylcyclohexane,C10H20,CC1C(CCC)CCCC1,0,0.777,45.13,-84.33,
1-甲基-3-丙基环己烷,1-methyl-3-propylcyclohexane,C10H20,CC1CC(CCC)CCC1,0,0.7787,45.13,-132.67,
1-甲基-1-环己烯,1-methyl-1-cyclohexene,C7H12,CC1=CCCCC1,0,0.811,43.79,-119.4,
"双环[4,2,0]辛烷",bicyclo[4.2.0]octane,C8H14,C12CCCCC1CC2,0,0.8677,44.00 ,-44.52,
"2,5-二甲基双环戊烷","2,5-dimethyloctahydropentalene",C10H18,CC1CC2CC(CC2C1)C,0,0.8702,44.26,-94.69,
苯,benzene,C6H6,C1=CC=CC=C1,0,0.8765,40.30 ,5.5,
甲苯,toluene,C7H8,CC1=CC=CC=C1,0,0.8623,41.06 ,-95,
邻-二甲基苯,"1,2-dimethylbenzene (o-xylene)",C8H10,CC1=CC=CC=C1C,0,0.8755,41.62 ,-25.16,
间-二甲基苯,m-Xylene,C8H10,CC1=CC=CC(C)=C1,0,0.868,41.62 ,-47.85,
对二甲苯,p-Xylene,C8H10,CC1=CC=C(C)C=C1,0,0.8565,41.62 ,13.25,
